epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,1.4278349876403809,,,,,
0,0,1.4278349876403809,,,,,,
1,1,,0.5817514657974243,,,,,
1,1,0.5817514657974243,,,,,,
2,2,,1.240501880645752,,,,,
2,2,1.240501880645752,,,,,,
3,3,,0.8511263132095337,,,,,
3,3,0.8511263132095337,,,,,,
4,4,,0.6808913946151733,,,,,
4,4,0.6808913946151733,,,,,,
5,5,,0.6012406349182129,,,,,
5,5,0.6012406349182129,,,,,,
6,6,,0.5814308524131775,,,,,
6,6,0.5814308524131775,,,,,,
7,7,,0.6361092329025269,,,,,
7,7,0.6361092329025269,,,,,,
8,8,,0.7278416156768799,,,,,
8,8,0.7278416156768799,,,,,,
9,9,,0.6901010870933533,,,,,
9,9,0.6901010870933533,,,,,,
10,10,,0.5624634623527527,,,,,
10,10,0.5624634623527527,,,,,,
11,11,,0.4864601194858551,,,,,
11,11,0.4864601194858551,,,,,,
12,12,,0.4717938303947449,,,,,
12,12,0.4717938303947449,,,,,,
13,13,,0.49184760451316833,,,,,
13,13,0.49184760451316833,,,,,,
14,14,,0.532791018486023,,,,,
14,14,0.532791018486023,,,,,,
15,15,,0.5672684907913208,,,,,
15,15,0.5672684907913208,,,,,,
16,16,,0.5501303672790527,,,,,
16,16,0.5501303672790527,,,,,,
17,17,,0.4994569718837738,,,,,
17,17,0.4994569718837738,,,,,,
18,18,,0.4648109972476959,,,,,
18,18,0.4648109972476959,,,,,,
19,19,,0.45633983612060547,,,,,
19,19,0.45633983612060547,,,,,,
20,20,,0.4640805125236511,,,,,
20,20,0.4640805125236511,,,,,,
21,21,,0.4789574444293976,,,,,
21,21,0.4789574444293976,,,,,,
22,22,,0.49177634716033936,,,,,
22,22,0.49177634716033936,,,,,,
23,23,,0.4930008053779602,,,,,
23,23,0.4930008053779602,,,,,,
24,24,,0.48184734582901,,,,,
24,24,0.48184734582901,,,,,,
25,25,,0.46717822551727295,,,,,
25,25,0.46717822551727295,,,,,,
26,26,,0.45635637640953064,,,,,
26,26,0.45635637640953064,,,,,,
27,27,,0.4509213864803314,,,,,
27,27,0.4509213864803314,,,,,,
28,28,,0.45054247975349426,,,,,
28,28,0.45054247975349426,,,,,,
29,29,,0.4548070728778839,,,,,
29,29,0.4548070728778839,,,,,,
30,30,,0.46018198132514954,,,,,
30,30,0.46018198132514954,,,,,,
31,31,,0.4603607654571533,,,,,
31,31,0.4603607654571533,,,,,,
32,32,,0.45439866185188293,,,,,
32,32,0.45439866185188293,,,,,,
33,33,,0.4476555287837982,,,,,
33,33,0.4476555287837982,,,,,,
34,34,,0.4435431957244873,,,,,
34,34,0.4435431957244873,,,,,,
35,35,,0.44190603494644165,,,,,
35,35,0.44190603494644165,,,,,,
36,36,,0.44244131445884705,,,,,
36,36,0.44244131445884705,,,,,,
37,37,,0.44483137130737305,,,,,
37,37,0.44483137130737305,,,,,,
38,38,,0.4466065764427185,,,,,
38,38,0.4466065764427185,,,,,,
39,39,,0.4450042247772217,,,,,
39,39,0.4450042247772217,,,,,,
40,40,,0.44111356139183044,,,,,
40,40,0.44111356139183044,,,,,,
41,41,,0.4379635453224182,,,,,
41,41,0.4379635453224182,,,,,,
42,42,,0.4366765022277832,,,,,
42,42,0.4366765022277832,,,,,,
43,43,,0.43695756793022156,,,,,
43,43,0.43695756793022156,,,,,,
44,44,,0.4382971525192261,,,,,
44,44,0.4382971525192261,,,,,,
45,45,,0.43932563066482544,,,,,
45,45,0.43932563066482544,,,,,,
46,46,,0.43832895159721375,,,,,
46,46,0.43832895159721375,,,,,,
47,47,,0.4357335567474365,,,,,
47,47,0.4357335567474365,,,,,,
48,48,,0.43369975686073303,,,,,
48,48,0.43369975686073303,,,,,,
49,49,,0.433249294757843,,,,,
49,49,0.433249294757843,,,,,,
50,50,,0.43381592631340027,,,,,
50,50,0.43381592631340027,,,,,,
51,51,,0.4344877302646637,,,,,
51,51,0.4344877302646637,,,,,,
52,52,,0.4344692528247833,,,,,
52,52,0.4344692528247833,,,,,,
53,53,,0.4333021640777588,,,,,
53,53,0.4333021640777588,,,,,,
54,54,,0.4315362572669983,,,,,
54,54,0.4315362572669983,,,,,,
55,55,,0.43036264181137085,,,,,
55,55,0.43036264181137085,,,,,,
56,56,,0.43020856380462646,,,,,
56,56,0.43020856380462646,,,,,,
57,57,,0.4304732382297516,,,,,
57,57,0.4304732382297516,,,,,,
58,58,,0.43044331669807434,,,,,
58,58,0.43044331669807434,,,,,,
59,59,,0.42984539270401,,,,,
59,59,0.42984539270401,,,,,,
60,60,,0.4288173317909241,,,,,
60,60,0.4288173317909241,,,,,,
61,61,,0.4278147518634796,,,,,
61,61,0.4278147518634796,,,,,,
62,62,,0.42725875973701477,,,,,
62,62,0.42725875973701477,,,,,,
63,63,,0.42707791924476624,,,,,
63,63,0.42707791924476624,,,,,,
64,64,,0.4268706440925598,,,,,
64,64,0.4268706440925598,,,,,,
65,65,,0.42640137672424316,,,,,
65,65,0.42640137672424316,,,,,,
66,66,,0.4257024824619293,,,,,
66,66,0.4257024824619293,,,,,,
67,67,,0.4249114394187927,,,,,
67,67,0.4249114394187927,,,,,,
68,68,,0.4242089092731476,,,,,
68,68,0.4242089092731476,,,,,,
69,69,,0.4237194359302521,,,,,
69,69,0.4237194359302521,,,,,,
70,70,,0.4233630299568176,,,,,
70,70,0.4233630299568176,,,,,,
71,71,,0.4229336678981781,,,,,
71,71,0.4229336678981781,,,,,,
72,72,,0.42231616377830505,,,,,
72,72,0.42231616377830505,,,,,,
73,73,,0.42156293988227844,,,,,
73,73,0.42156293988227844,,,,,,
74,74,,0.4208252429962158,,,,,
74,74,0.4208252429962158,,,,,,
75,75,,0.4202287197113037,,,,,
75,75,0.4202287197113037,,,,,,
76,76,,0.4197428822517395,,,,,
76,76,0.4197428822517395,,,,,,
77,77,,0.41920754313468933,,,,,
77,77,0.41920754313468933,,,,,,
78,78,,0.4185308814048767,,,,,
78,78,0.4185308814048767,,,,,,
79,79,,0.41778334975242615,,,,,
79,79,0.41778334975242615,,,,,,
80,80,,0.4170755445957184,,,,,
80,80,0.4170755445957184,,,,,,
81,81,,0.4164363145828247,,,,,
81,81,0.4164363145828247,,,,,,
82,82,,0.41582155227661133,,,,,
82,82,0.41582155227661133,,,,,,
83,83,,0.4151717722415924,,,,,
83,83,0.4151717722415924,,,,,,
84,84,,0.41445958614349365,,,,,
84,84,0.41445958614349365,,,,,,
85,85,,0.4137091338634491,,,,,
85,85,0.4137091338634491,,,,,,
86,86,,0.41296494007110596,,,,,
86,86,0.41296494007110596,,,,,,
87,87,,0.4122508764266968,,,,,
87,87,0.4122508764266968,,,,,,
88,88,,0.4115542471408844,,,,,
88,88,0.4115542471408844,,,,,,
89,89,,0.4108327627182007,,,,,
89,89,0.4108327627182007,,,,,,
90,90,,0.41005927324295044,,,,,
90,90,0.41005927324295044,,,,,,
91,91,,0.4092632234096527,,,,,
91,91,0.4092632234096527,,,,,,
92,92,,0.4084840714931488,,,,,
92,92,0.4084840714931488,,,,,,
93,93,,0.40771472454071045,,,,,
93,93,0.40771472454071045,,,,,,
94,94,,0.40692880749702454,,,,,
94,94,0.40692880749702454,,,,,,
95,95,,0.40612027049064636,,,,,
95,95,0.40612027049064636,,,,,,
96,96,,0.4052923619747162,,,,,
96,96,0.4052923619747162,,,,,,
97,97,,0.40444985032081604,,,,,
97,97,0.40444985032081604,,,,,,
98,98,,0.4036014676094055,,,,,
98,98,0.4036014676094055,,,,,,
99,99,,0.40275004506111145,,,,,
99,99,0.40275004506111145,,,,,,
100,100,,,0.7164503931999207,0.8955580592155457,1.0011606216430664,1.112802267074585,1.112802267074585
